metric,mean_delta,p_raw,test,cliffs_delta,p_holm,significant
ndcg3_severity::static_twr_vs_rrf,0.03442272013753578,0.02395600210382914,Wilcoxon,0.19921875,0.19164801683063312,False
ndcg3_severity::ltwr_vs_rrf,-0.0339559230399504,0.1026604658400384,paired t-test,-0.2177734375,0.7186232608802688,False
ndcg3_severity::ltwr_vs_static_twr,-0.06837864317748618,0.006057645122939212,paired t-test,-0.3193359375,0.06663409635233133,False
ndcg3_w2::static_twr_vs_rrf,-0.0026515456957145293,0.31731050786291415,Wilcoxon,-0.0009765625,1.0,False
ndcg3_w2::ltwr_vs_rrf,-0.0026515456957145293,0.31731050786291415,Wilcoxon,-0.0009765625,1.0,False
ndcg3_w2::ltwr_vs_static_twr,0.0,1.0,none,0.0,1.0,False
mrr_authoritative::static_twr_vs_rrf,0.12395833333333334,0.007526315166457887,Wilcoxon,0.1708984375,0.07526315166457886,False
mrr_authoritative::ltwr_vs_rrf,-0.001041666666666663,0.825919574406857,Wilcoxon,-0.0244140625,1.0,False
mrr_authoritative::ltwr_vs_static_twr,-0.125,0.020921335337794014,Wilcoxon,-0.234375,0.18829201804014611,False
real_ndcg3::static_twr_vs_rrf,0.17213147498837775,3.464842759259006e-07,paired t-test,0.3681640625,5.197264138888509e-06,True
real_ndcg3::ltwr_vs_rrf,0.15176590981634164,3.932433411020822e-06,paired t-test,0.466796875,5.505406775429151e-05,True
real_ndcg3::ltwr_vs_static_twr,-0.020365565172036124,0.5223602925778266,paired t-test,-0.015625,1.0,False
real_mrr::static_twr_vs_rrf,-0.020833333333333336,0.17971249487899976,Wilcoxon,-0.0400390625,1.0,False
real_mrr::ltwr_vs_rrf,0.140625,0.0026997960632601866,Wilcoxon,0.28125,0.03239755275912224,True
real_mrr::ltwr_vs_static_twr,0.16145833333333334,0.0022819372533154484,Wilcoxon,0.3125,0.02966518429310083,True
